progress,duration,finished,px,consent,handedness,age,gender_id,gender_strength,lang_convo,sample,scsq_1,scsq_2,scsq_3,scsq_4,scsq_5,scsq_6,scsq_7,scsq_8,scsq_9,scsq_10,scsq_11,scsq_12,scsq_13,scsq_14,scsq_15,scsq_16,scsq_17,scsq_18,scsq_19,scsq_20,scsq_21,scsq_22,scsq_23,scsq_24,scsq_25,scsq_26,scsq_27,scsq_28,scsq_29,scsq_30,scsq_31,scsq_32,scsq_33,scsq_34,scsq_35,scsq_36,scsq_37,scsq_38,scsq_39,scsq_40,scsq_41,scsq_42,scsq_43,scsq_44,scsq_45,scsq_46,scsq_47,scsq_48,scsq_49,scsq_50,scsq_51,scsq_52,scsq_53,scsq_54,scsq_55,scsq_56,scsq_57,scsq_58,scsq_59,scsq_60,cais_1,cais_2,cais_3,cais_4,cais_5,cais_6,cais_7,cais_8,cais_9,cais_10,cais_11,cais_12,cais_13,cais_14,cais_15,cais_16,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8,eq_9,eq_10,eq_11,eq_12,eq_13,eq_14,eq_15,eq_16,eq_17,eq_18,eq_19,eq_20,eq_21,eq_22,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19,loc_20,loc_21,loc_22,loc_23,loc_24,tas_1,tas_2,tas_3,tas_4,tas_5,tas_6,tas_7,tas_8,tas_9,tas_10,tas_11,tas_12,tas_13,tas_14,tas_15,tas_16,tas_17,tas_18,tas_19,tas_20,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,rat_1,rat_2,rat_3,rat_4,rat_5,rat_6,rat_7,rat_8,rat_9,rat_10,Q36,Q11,scsq_technical_spatial,scsq_imagery_ability,scsq_lang_words,scsq_global_bias,scsq_systematising,scsq_organisation,cais_score,eq_score,loc_internal,loc_others,loc_chance,rat_score,tas_identifying,tas_describing,tas_ext_thinking
100,1530,TRUE,R_pxzuD6rNRS3y5Gh,1,right,25,62,20,"English, Slovak",genpop,4,2,3,3,2,5,1,5,1,1,4,1,3,5,4,5,5,3,1,4,3,4,1,4,4,5,5,1,1,4,1,3,3,4,5,2,5,2,3,5,5,3,5,3,4,3,5,2,2,5,2,5,4,1,4,4,4,5,2,2,5,4,5,4,5,2,3,4,2,4,5,5,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,2,2,4,3,3,3,4,4,2,3,5,3,4,3,5,2,4,3,5,5,5,2,4,4,5,4,5,4,4,5,5,5,3,5,1,1,2,5,3,2,3,4,1.569,266.741,267.361,52,Party,Fire,Gold,Common,Soap,Camp,Bow,Bar,Coffee,Key,1,NA,3.7058823529411766,2.411764705882353,4.666666666666667,2.5714285714285716,3.142857142857143,4.166666666666667,4.0625,2,30,29,23,9,30,23,21
100,982,TRUE,R_3HGouzQIsVakhjL,1,left,32,100,100,English,genpop,3,4,4,5,5,4,5,2,5,1,1,3,4,1,5,2,1,5,4,4,2,4,1,1,2,3,4,5,2,4,3,2,5,2,3,2,4,5,5,1,3,1,4,2,3,4,1,4,5,2,1,1,2,2,5,1,1,1,5,5,4,2,2,5,5,5,5,4,4,4,4,4,4,4,5,5,2,2,1,2,1,2,2,2,2,2,0,0,2,0,2,2,1,2,2,2,1,2,3,1,3,4,2,2,4,5,4,3,3,2,3,2,5,5,2,4,4,2,4,5,5,2,3,1,2,2,4,1,2,2,2,2,1,1,1,2,1,2,4,2,1,1,7.512,217.731,218.813,46,Party,Fire,Gold,Common,Soap,Camp,Bow,Hand,Coffee,Paper,1,NA,2.5294117647058822,4.588235294117647,3,2.142857142857143,2.4285714285714284,1.6666666666666667,4.125,34,30,28,21,8,15,8,14
100,2653,TRUE,R_5AaNvVQN6GTyDvP,1,right,36,100,75,"English, Japanese",genpop,5,4,2,3,4,5,3,4,5,3,5,2,2,4,4,5,5,5,1,5,5,5,3,1,3,5,4,2,1,4,2,1,4,2,5,1,5,2,1,3,3,1,4,5,4,5,1,1,4,5,4,1,5,2,5,5,4,4,4,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,0,0,0,0,2,0,1,0,1,0,0,0,2,2,2,0,0,0,1,0,0,3,1,5,3,2,4,1,4,4,5,4,2,5,4,4,4,4,3,4,2,4,4,4,2,4,1,2,1,3,2,2,4,3,2,2,5,2,4,4,3,3,1,2,1,6.421,276.379,300.015,38,Party,Fire,Gold,Common,Soap,Squash,NA,NA,NA,Letter,1,NA,2.588235294117647,3.5294117647058822,5,4,3,3.8333333333333335,4.8125,12,27,32,23,5,15,16,20
100,1192,TRUE,R_1rrfWhoBOjUZ7t6,1,right,35,100,51,English,genpop,4,5,5,4,5,1,5,5,4,4,1,3,5,5,5,3,4,5,4,5,4,3,4,5,4,1,5,5,1,5,5,5,5,4,4,3,5,5,5,4,4,3,5,2,5,5,4,5,5,4,1,5,5,3,5,5,1,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,0,1,2,2,4,4,2,3,4,5,5,3,4,4,5,5,4,4,2,1,2,4,4,5,2,4,6,4,4,2,4,4,5,5,5,5,2,2,5,3,2,2,4,1,1,2,2,6.44,296.834,300.008,47,Party,Fire,Gold,Common,Soap,Camp,Guard,Foot,Coffee,Bank,2,NA,4.588235294117647,4.823529411764706,3.3333333333333335,2.4285714285714284,4.571428571428571,2.8333333333333335,4.8125,11,25,29,34,8,28,19,17
100,1216,TRUE,R_ymgz8l8nciAM11L,1,right,37,0,100,English,genpop,4,4,4,3,4,1,4,4,4,1,2,4,4,3,4,4,3,3,4,4,2,5,1,4,1,4,4,3,1,3,4,1,3,3,3,2,4,3,4,1,3,3,4,3,4,4,5,4,4,4,1,1,3,4,4,4,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,0,0,2,0,2,2,2,1,2,1,2,2,2,1,2,2,2,2,0,5,4,3,6,5,5,4,4,5,3,3,3,4,3,3,4,2,5,4,4,6,4,5,3,2,3,3,2,1,1,1,1,2,2,4,5,2,3,4,4,3,2,4,4,4.923,291.674,293.241,35,Party,Fire,Gold,Common,NA,NA,NA,Foot,NA,NA,1,NA,3.176470588235294,3.6470588235294117,3.3333333333333335,3,3,2.6666666666666665,5,31,41,27,29,5,13,14,26
100,35986,TRUE,R_20PqRRYqzJUkJUc,1,right,22,0,75,English,genpop,4,4,2,3,4,4,2,4,3,4,4,2,5,5,5,4,4,5,3,2,2,3,1,4,3,4,3,2,1,4,4,3,4,3,3,2,4,4,4,2,4,3,4,4,2,2,3,4,4,4,1,3,3,2,5,2,4,4,4,5,5,4,5,5,4,3,4,5,2,5,5,5,3,4,3,5,1,0,0,1,0,1,1,1,1,2,1,1,0,2,1,2,2,1,1,1,1,1,2,2,4,5,3,2,1,5,2,3,4,3,3,3,4,2,2,5,4,4,6,3,5,2,4,5,4,4,5,4,2,5,4,4,4,4,1,3,1,2,2,2,2,4,4.294,285.326,300.022,20,Party,Fire,Gold,Common,Cloth,Camp,Bow,NA,Bake,Mail,2,NA,3.588235294117647,3.588235294117647,3.8333333333333335,2.5714285714285716,2.7142857142857144,3,4.1875,22,32,29,18,6,28,21,17
100,1245,TRUE,R_2VaIC3Grp4TtkOb,1,right,21,91,28,English,DS_neuro,1,2,4,4,4,2,5,4,5,1,2,2,3,5,5,4,4,5,4,5,4,2,1,5,4,1,4,5,2,4,4,3,5,4,5,4,4,2,5,2,5,2,4,4,2,5,5,5,5,2,2,3,5,2,5,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,1,0,1,0,0,1,0,2,2,2,1,0,1,0,1,0,0,0,0,0,4,5,2,5,6,3,3,5,5,2,2,2,5,1,5,5,5,5,4,2,4,5,5,2,4,4,4,4,5,4,5,5,5,2,2,4,1,1,2,2,5,1,2,2,1.524,188.174,191.86,14,party,fire,ing,sixth,soap,day,bow,foot,coffee,key,1,NA,3.6470588235294117,4.705882352941177,2.5,2.5714285714285716,3.2857142857142856,3.1666666666666665,5,14,38,31,23,7,30,18,16
100,1919,TRUE,R_xAgZE9TR2PsG41j,1,left,26,100,100,English,genpop,4,1,4,1,1,1,1,1,1,1,5,2,2,1,1,4,3,1,1,1,5,1,1,1,1,5,1,1,1,4,1,1,1,3,3,5,4,3,1,2,1,1,3,5,2,2,1,1,1,1,5,1,3,4,4,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,2,1,2,2,1,0,1,0,1,0,2,2,0,1,2,2,3,1,1,6,6,1,1,4,1,1,1,1,1,1,4,1,1,6,5,3,6,4,6,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,0.94,183.325,185.297,38,Party,Fire,NA,NA,NA,Break,Bow,NA,NA,NA,3,NA,1.8235294117647058,1.2941176470588236,3,3.857142857142857,1.5714285714285714,2.5,1.1875,23,39,19,8,3,11,5,13
100,1746,TRUE,R_2a8M9Uu6iMEssUn,1,right,24,15,25,English,genpop,4,5,4,3,4,5,5,5,5,4,2,2,5,5,5,5,5,5,1,3,4,1,3,4,3,2,4,5,1,5,5,4,4,3,4,2,4,4,5,5,4,4,5,3,4,4,4,4,4,5,2,3,3,2,3,4,5,5,2,4,2,2,3,2,2,3,2,1,2,2,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,4,4,4,3,3,4,5,3,3,3,2,3,4,4,5,5,3,4,3,4,4,4,4,4,4,4,4,5,4,5,5,5,3,4,5,1,2,3,4,2,2,2,3,3.37,235.593,238.98,25,Party,Fire,Gold,Na,Soap,Camp,Na,Na,Na,Na,1,NA,4.176470588235294,3.9411764705882355,3.8333333333333335,2.2857142857142856,3.7142857142857144,4.166666666666667,2.125,4,28,31,29,5,30,22,19
100,1250,TRUE,R_2rPBqbu2URrbBh7,1,right,33,74,47,English,genpop,1,4,1,1,2,5,2,3,1,1,5,2,3,3,1,5,4,2,1,4,3,3,1,3,3,4,4,2,2,2,1,2,2,3,4,3,4,4,4,5,4,4,4,4,3,1,5,1,2,3,2,3,3,3,2,5,5,5,3,2,5,1,3,3,2,2,4,4,3,4,2,4,3,2,1,1,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1,1,1,0,0,0,0,2,5,4,5,2,4,5,5,6,1,5,3,4,6,6,5,4,6,3,2,3,5,4,4,2,1,4,4,4,4,4,5,4,5,4,4,4,1,1,1,4,1,4,3,4,4.301,227.136,229.341,36,Party,Fire,Gold,Commom,Soap,NA,NA,Sample,Tin,Key,2,NA,3.2941176470588234,2,3.3333333333333335,3.142857142857143,2.4285714285714284,4.166666666666667,2.75,13,26,38,35,5,26,21,19
100,1682,TRUE,R_1Nq53Junao77mSM,1,right,34,60,70,English,genpop,3,4,3,2,2,4,1,2,1,1,5,3,4,3,2,4,3,1,1,4,5,3,2,2,3,2,2,1,2,2,4,3,2,3,3,2,4,3,2,3,4,3,4,4,4,1,4,2,3,2,4,2,3,2,2,3,2,4,3,1,5,4,4,3,3,2,4,2,2,2,2,4,3,4,3,2,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,3,4,3,3,4,3,3,5,4,3,3,4,3,4,4,3,2,4,4,4,4,3,4,2,4,2,4,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,3.812,298.813,300.022,52,News - NA,Fire,Gold,Common,House,Play,Bow,Foot,Coffee,Work,1,NA,3.0588235294117645,1.7647058823529411,3,3.7142857142857144,2.857142857142857,2.8333333333333335,3.0625,10,30,27,26,6,26,13,16
100,1390,TRUE,R_5b7ZVwDVULo5QM9,1,right,48,100,100,English,genpop,2,1,2,2,4,5,1,1,4,4,2,2,1,2,5,4,4,2,2,5,1,4,1,4,1,4,1,2,1,1,1,1,5,5,4,4,4,4,2,4,1,4,4,5,4,5,2,4,5,4,4,1,4,2,5,1,2,1,5,4,3,5,5,5,1,5,5,5,5,5,3,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,1,6,1,1,2,5,4,1,4,4,1,4,2,1,6,6,4,6,2,6,1,2,1,2,1,2,4,1,2,2,2,1,4,2,2,1,2,2,1,1,4,2.322,82.256,300.007,6,Party,Fire,NA,Common,Soap,NA,NA,NA,NA,NA,1,NA,2.0588235294117645,3.411764705882353,3.8333333333333335,2.857142857142857,3,3.1666666666666665,4.5,22,40,19,15,4,13,11,15
100,1411,TRUE,R_1r6y3Kon2quqfXY,1,right,21,10,85,"English, Chinese (Cantonese & Mandarin)",DS,4,4,3,3,2,4,1,2,2,2,4,2,5,4,4,4,4,3,1,1,2,4,1,2,3,5,4,2,1,4,4,4,3,5,4,2,3,3,4,3,4,3,4,4,1,4,5,4,4,3,2,3,4,2,5,2,5,5,4,2,5,4,3,3,3,2,3,2,3,3,3,4,3,3,2,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,4,5,5,6,5,5,3,4,5,4,4,4,5,5,3,3,4,5,4,4,5,3,4,3,4,3,3,4,4,4,4,5,2,3,2,3,4,1,2,2,2.239,130.55,164.669,22,debate,fire,gold,sixth,soap,high,red,blue,chocolate,bank,1,NA,3.764705882352941,2.9411764705882355,3.8333333333333335,2.857142857142857,2,3.5,3,5,31,34,33,3,25,21,19
100,1108,TRUE,R_VWEweFBNaQi3QWd,1,right,34,5,95,English,DS,5,5,5,3,2,4,3,5,4,4,2,3,5,4,2,3,4,5,5,5,3,4,5,4,4,5,5,5,5,3,4,2,4,3,4,4,4,5,4,3,4,5,4,3,2,5,5,4,5,4,2,5,4,3,5,5,4,5,4,4,5,5,4,4,2,4,4,5,5,3,5,5,5,2,4,5,1,2,0,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,1,1,0,0,4,3,1,2,5,3,3,4,2,4,2,3,1,1,2,3,3,5,5,5,5,2,4,1,2,3,2,4,2,4,3,5,4,4,3,5,1,2,2,4,3,1,1,2,0.974,281.454,282.332,37,Party,Fire,Gold,Common,Towel,NA,NA,Foot,bread,Ring,1,NA,4.294117647058823,4.0588235294117645,4.333333333333333,2.857142857142857,4.142857142857143,3.8333333333333335,4.1875,19,32,20,21,5,20,21,16
100,1740,TRUE,R_3NWZmdL7A6lsgPq,1,right,30,100,100,"English, French, German",genpop,5,2,4,5,2,4,5,2,4,2,4,3,2,2,4,4,4,5,2,4,1,5,1,3,1,5,2,4,1,2,2,1,5,3,4,1,5,1,4,4,4,1,4,3,4,5,2,3,3,3,1,1,5,3,4,2,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,1,2,0,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,3,4,1,4,5,1,1,4,5,6,1,4,4,1,5,4,1,1,5,4,4,4,5,3,4,1,4,2,4,2,2,4,4,5,4,5,2,2,1,3,4,1,1,2,3.328,143.802,147.266,52,Party,Fire,Gold,Common,Soap,Camp,Check,NA,Coffee,NA,2,NA,1.9411764705882353,3.9411764705882355,4.5,2.857142857142857,3.142857142857143,3.5,4.875,32,32,24,24,7,19,22,16
100,1916,TRUE,R_3fwOkJrZnd1DEQZ,1,right,23,100,100,English,genpop,3,5,4,4,4,4,5,4,3,2,2,2,5,4,5,3,3,5,5,4,2,5,1,4,2,4,4,5,1,5,5,3,5,2,4,4,4,2,5,1,3,1,4,3,4,5,4,5,5,5,1,3,2,3,5,4,2,4,5,5,5,3,2,5,5,5,5,4,2,3,4,5,5,5,4,5,2,2,0,0,1,2,2,2,2,2,0,1,2,1,2,2,2,1,1,2,1,1,4,3,3,4,5,2,1,5,4,4,2,2,5,2,4,4,1,5,4,5,5,4,4,2,2,3,4,1,5,5,2,5,4,3,5,4,2,3,1,3,1,1,3,1,6.992,275.643,300.012,17,Party,Fire,Ocean,Common,Soup,Camp,N/A,Beer,Bake,Key,1,NA,3.588235294117647,4.705882352941177,3.6666666666666665,2.5714285714285716,3.142857142857143,2.3333333333333335,4.1875,31,35,29,20,5,22,21,15
